Shuffle,Fold,n_estimators,lr,depth,MSE,MSE_B,RMSE,RMSE_B,R-squared,R-squared_B,MAE,MAE_B,MAPE,MAPE_B
1,1,5,0.001,3,14969628.16,2561519.826,3869.060371,1600.474875,0.006945718,0.830074054,3106.795862,1179.94434,7.243E+12,2.72069E+12
1,2,5,0.001,3,15225156.91,2357232.627,3901.942709,1535.328182,0.006935588,0.846248952,3132.606949,1107.778047,7.23192E+12,2.67465E+12
1,3,5,0.001,3,15355526.34,2517434.469,3918.612809,1586.642515,0.007256313,0.837246401,3155.629566,1153.791853,1.08656E+13,4.37665E+12
1,4,5,0.001,3,15733995.44,2468380.509,3966.610068,1571.108051,0.006791132,0.844183417,3232.924483,1155.781088,53.96644663,11.72050115
1,5,5,0.001,3,15064132.91,2484561.957,3881.254038,1576.249332,0.00622614,0.8360946,3125.886341,1154.811709,3.63402E+12,1.43098E+12
2,1,5,0.001,3,15169885.88,2540958.003,3894.853769,1594.038269,0.005933161,0.833493666,3113.905032,1165.424087,1.08944E+13,4.30293E+12
2,2,5,0.001,3,15866485.09,2572295.482,3983.275673,1603.837735,0.007044687,0.839020776,3211.482086,1169.131632,3.62005E+12,1.40395E+12
2,3,5,0.001,3,15368173.11,2439840.564,3920.226156,1561.9989,0.007216083,0.84238631,3165.186196,1151.473161,7.24891E+12,2.77488E+12
2,4,5,0.001,3,14752619.91,2317091.729,3840.913942,1522.199635,0.007035073,0.844041883,3116.780575,1109.507874,50.10593234,11.30816362
2,5,5,0.001,3,15189769.18,2518901.902,3897.405442,1587.104881,0.006962623,0.835325757,3146.308222,1156.554402,7.24147E+12,2.72166E+12
3,1,5,0.001,3,15309997.17,2422130.224,3912.799148,1556.319448,0.007077036,0.842913836,3146.024915,1132.545621,54.5354014,12.16165702
3,2,5,0.001,3,15122688.78,2478811.495,3888.790144,1574.424179,0.004700924,0.836857134,3120.899187,1140.073835,3.63754E+12,1.43047E+12
3,3,5,0.001,3,15909407.32,2348037.962,3988.65984,1532.330892,0.006815018,0.853417793,3244.177306,1128.383862,57.73773467,11.94293953
3,4,5,0.001,3,14387949.13,2492300.241,3793.145018,1578.702075,0.005472033,0.827726504,3046.777683,1155.420371,7.22827E+12,2.97222E+12
